               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.022652,           0.0049984,                   0,             0.71019,             0.80815,             0.77188,             0.37285,            0.038206,            0.006702,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023755,           0.0050669,                   0,             0.77157,              0.7546,             0.78073,             0.38475,            0.037849,           0.0066855,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.022833,           0.0053689,                   0,             0.70752,             0.79787,             0.77024,             0.38259,            0.037778,           0.0068688,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.022004,           0.0048308,                   0,             0.74994,             0.73404,             0.75498,              0.3892,            0.037631,            0.006888,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023191,           0.0048255,                   0,             0.75803,             0.73404,             0.76036,             0.39227,            0.037509,           0.0068877,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.022335,           0.0048529,                   0,              0.7394,             0.75532,             0.76793,             0.37608,            0.038296,           0.0068294,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.024156,           0.0048211,                   0,              0.7905,              0.7234,             0.76176,             0.37505,            0.038014,           0.0069592,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022881,           0.0051982,                   0,             0.71279,             0.81915,             0.77502,             0.37722,            0.037931,           0.0068904,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.023429,           0.0049713,                   0,             0.78019,             0.75519,             0.78914,             0.37977,             0.03762,           0.0067985,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,              0.0233,           0.0048974,                   0,             0.77316,             0.79771,             0.79546,             0.39547,            0.036513,           0.0066985,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.023503,           0.0048999,                   0,             0.80218,             0.77649,             0.79332,             0.37937,            0.036902,           0.0066509,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022099,            0.004665,                   0,             0.77105,             0.75532,             0.77271,             0.37675,            0.037951,           0.0067558,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,              0.0219,           0.0049903,                   0,             0.74196,             0.79787,             0.78463,             0.39297,            0.036969,           0.0067754,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.021133,           0.0050754,                   0,             0.75701,             0.79787,             0.78565,             0.40354,            0.036298,           0.0067835,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.021314,           0.0048187,                   0,             0.74023,             0.81915,             0.78617,             0.38791,            0.036776,           0.0067149,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,             0.02238,           0.0049239,                   0,             0.75994,             0.80851,             0.77993,             0.39283,            0.036533,           0.0067717,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021043,           0.0043294,                   0,             0.74705,             0.75532,              0.7423,             0.36772,            0.037906,           0.0068346,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020171,           0.0045116,                   0,             0.76072,             0.74468,             0.76145,             0.37336,            0.037377,           0.0069487,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.022217,           0.0045289,                   0,             0.75551,             0.72324,             0.75971,             0.37215,            0.037111,           0.0070143,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021402,           0.0049648,                   0,             0.79756,             0.71277,             0.77585,             0.37968,            0.038018,           0.0069505,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.021027,           0.0045873,                   0,             0.81922,             0.72311,             0.79563,             0.38103,            0.037437,           0.0069589,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.020842,           0.0050137,                   0,             0.72087,             0.79787,             0.77544,             0.37248,             0.03768,           0.0069631,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.021868,           0.0044295,                   0,             0.71144,             0.78723,             0.77722,             0.37083,            0.038173,           0.0069598,                   0,           0.0010089,           0.0010089,           0.0010089
